# TF	Target	Type	Reference
PPARD	ANG	Repression	17511960
PPARD	ANGPTL4	Repression	15190076
PPARD	CAT	Activation	18048767
PPARD	HSD11B2	Repression	15591138
PPARD	LPL	Activation	10634806
PPARD	PDK4	Activation	15955060
PPARD	SAT1	Activation	14506281
PPARD	SOD1	Activation	18048767
PPARD	TIMP1	Activation	17511960
PPARD	TXN	Activation	18048767
